appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
convolutionSeparable,1000,900,convolutionRowsKernel,0.90531,0.367815,1180553,1175689,1462712,1179671,9510912,737280,1,36864,320864256,1.5993,1.65597948,51.06257143,51.70103332
convolutionSeparable,1000,1000,convolutionRowsKernel,0.904903,0.414762,1180255,1176760,1462570,1179654,9510912,737280,1,36864,320864256,1.4225,1.49292648,52.56133333,52.94978735
convolutionTexture,500,500,convolutionRowsKernel,0.835108,1.055765,608108,591457,1180119,589830,0,0,1,294912,250085376,1.9467,1.8315552,44.20936111,44.35547549
convolutionTexture,500,600,convolutionRowsKernel,0.836958,1.332787,601818,591498,1199204,589830,0,0,1,294912,250085376,1.5491,1.54057791,44.35930556,45.39616879
convolutionTexture,500,700,convolutionRowsKernel,0.839694,1.441488,606732,591380,1192450,589830,0,0,1,294912,250085376,1.4301,1.332372939,44.366,45.40151771
convolutionTexture,500,800,convolutionRowsKernel,0.842504,1.473126,603283,591535,1184570,589830,0,0,1,294912,250085376,1.3918,1.18532901,44.609,45.23176929
convolutionTexture,500,900,convolutionRowsKernel,0.844993,1.477838,589984,592263,1177015,589830,0,0,1,294912,250085376,1.3848,1.07023386,44.88375,44.64009641
convolutionTexture,500,1000,convolutionRowsKernel,0.846116,1.477719,604651,591789,1199203,589830,0,0,1,294912,250085376,1.3824,0.98334348,44.98527778,44.15119095
convolutionTexture,600,500,convolutionRowsKernel,0.831805,0.905128,607824,591459,1189248,589830,0,0,1,294912,250085376,1.8898,1.78894464,46.0588,45.41414893
convolutionTexture,600,600,convolutionRowsKernel,0.833772,1.151924,613123,591862,1197316,589830,0,0,1,294912,250085376,1.4743,1.49796735,46.59780556,46.38448073
convolutionTexture,600,700,convolutionRowsKernel,0.835026,1.324046,603741,591150,1193596,589830,0,0,1,294912,250085376,1.2968,1.289762379,46.78334286,47.29534898
convolutionTexture,600,800,convolutionRowsKernel,0.836532,1.425705,589988,592210,1177081,589830,0,0,1,294912,250085376,1.2038,1.14271845,46.78269444,47.53886827
