,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
71,reduction,1202,715,3.125,2.5,4.000123023986816,0.12500619888305664,1.0,0.0,7.875129222869873,100.24987077713013,0.966675,324.13495804195804,4.003549347156341,5.625,4.0,0.99609375,0.0
72,reduction,1328,715,3.125,2.5,4.000114440917969,0.12500619888305664,0.9881858812935607,0.011814118706439336,7.875120639801025,100.24987936019897,0.9666299999999999,329.04234965034965,4.423222573230965,5.625,4.0,0.99609375,0.0
78,scalarProd,607,715,4672.0,4352.0,65536.4287109375,4378.966796875,0.9996129110567719,0.00038708894322814213,75675.3955078125,112684.6044921875,0.290116,300.9611643356643,2.0217591129150567,9024.0,65536.0,10238.0,0.0
79,scalarProd,810,715,4672.0,4352.0,65536.35546875,3623.0732421875,0.9995473265003988,0.0004526734996012083,74919.4287109375,113440.5712890625,0.289588,308.8675174825175,2.69789931047973,9024.0,65536.0,10238.0,0.0
75,scalarProd,1012,715,4672.0,4352.0,65536.4091796875,3513.1796875,0.9997658357482244,0.00023416425177558153,74809.5888671875,113550.4111328125,0.290086,316.73492307692305,3.370708768154922,9024.0,65536.0,10238.0,0.0
76,scalarProd,1202,715,4672.0,4352.0,65536.458984375,3966.4052734375,0.9997077739587874,0.00029222604121259543,75262.8642578125,113097.1357421875,0.28936799999999996,324.13495804195804,4.003549347156341,9024.0,65536.0,10238.0,0.0
77,scalarProd,1328,715,4672.0,4352.0,65536.3486328125,4298.6435546875,0.999636867217914,0.0003631327820859953,75594.9921875,112765.0078125,0.28961,329.04234965034965,4.423222573230965,9024.0,65536.0,10238.0,0.0
83,scanScanExclusiveShared,607,715,17.0,10.0,16.000375747680664,18.166982650756836,0.9998108692778467,0.00018913072215331894,53.6673583984375,104.3326416015625,0.974825,300.9611643356643,2.0217591129150567,27.0,16.0,0.0,0.0
84,scanScanExclusiveShared,810,715,17.0,10.0,16.000333786010742,16.934419631958008,1.0,0.0,52.43475341796875,105.56524658203125,0.9725540000000001,308.8675174825175,2.69789931047973,27.0,16.0,0.0,0.0
80,scanScanExclusiveShared,1012,715,17.0,10.0,16.00031852722168,17.226316452026367,0.9968421371678119,0.0031578628321881075,52.72663497924805,105.27336502075195,0.971741,316.73492307692305,3.370708768154922,27.0,16.0,0.0,0.0
81,scanScanExclusiveShared,1202,715,17.0,10.0,16.000259399414062,16.610759735107422,1.0,0.0,52.111019134521484,105.88898086547852,0.971742,324.13495804195804,4.003549347156341,27.0,16.0,0.0,0.0
82,scanScanExclusiveShared,1328,715,17.0,10.0,16.00027847290039,16.40789222717285,1.0,0.0,51.90817070007324,106.09182929992676,0.971757,329.04234965034965,4.423222573230965,27.0,16.0,0.0,0.0
88,sortingNetworks,607,715,329.7086868286133,315.46295166015625,16.01666259765625,16.000099182128906,1.0,0.0,440.5911865234375,450.0886614765625,0.9878600000000001,300.9611643356643,2.0217591129150567,645.1716384887695,16.0,0.0,0.0
89,sortingNetworks,810,715,329.7086868286133,315.46295166015625,16.015220642089844,16.000099182128906,1.0,0.0,440.5897445678711,450.0901034321289,0.987583,308.8675174825175,2.69789931047973,645.1716384887695,16.0,0.0,0.0
85,sortingNetworks,1012,715,329.7086868286133,315.46295166015625,16.012306213378906,16.000099182128906,1.0,0.0,440.58683013916016,450.09301786083984,0.987836,316.73492307692305,3.370708768154922,645.1716384887695,16.0,0.0,0.0
